K,Time,ARI,AMI,algo,dataset,N,M,TrueK,id,index,distance,agg
6.0,3.805930494,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,0,elbow_11,conventional,mean
6.0,3.805431909,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,0,elbow_22,conventional,mean
5.0,3.8054219930000004,0.6959201014073202,0.5875022188600615,kmeans,ecoli,336,6,8,0,elbow_12,conventional,mean
6.0,3.805437349000001,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,0,elbow_21,conventional,mean
6.0,3.8054344790000005,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,0,elbow_33,conventional,mean
6.0,3.851972185,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,0,calinski_harabasz,conventional,mean
13.0,3.8488742570000003,0.39914740884112127,0.5135945338359884,kmeans,ecoli,336,6,8,0,hartigan,conventional,mean
6.0,3.84930222,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,0,wb_index,conventional,mean
30.0,3.849060992,0.19192312047088317,0.3922191320755748,kmeans,ecoli,336,6,8,0,xu_index,conventional,mean
3.0,3.8055119720000006,0.41489302881592416,0.3620801757079963,kmeans,ecoli,336,6,8,0,elbow_11,conventional,amin
6.0,3.8054172630000007,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,0,elbow_22,conventional,amin
5.0,3.8055634570000008,0.6959201014073202,0.5875022188600615,kmeans,ecoli,336,6,8,0,elbow_12,conventional,amin
6.0,3.8054169590000004,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,0,elbow_21,conventional,amin
5.0,3.8054107209999994,0.6959201014073202,0.5875022188600615,kmeans,ecoli,336,6,8,0,elbow_33,conventional,amin
5.0,3.8490520330000004,0.6959201014073202,0.5875022188600615,kmeans,ecoli,336,6,8,0,calinski_harabasz,conventional,amax
3.0,3.848423704,0.41489302881592416,0.3620801757079963,kmeans,ecoli,336,6,8,0,hartigan,conventional,amin
6.0,3.8474855980000005,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,0,wb_index,conventional,amin
30.0,3.835977132,0.19192312047088317,0.3922191320755748,kmeans,ecoli,336,6,8,0,xu_index,conventional,amin
22.0,3.9190364750000013,0.23630787685913457,0.42360858959342773,kmeans,ecoli,336,6,8,0,elbow_11,euclidean,mean
6.0,3.918895548000001,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,0,elbow_22,euclidean,mean
5.0,3.9188992039999997,0.6959201014073202,0.5875022188600615,kmeans,ecoli,336,6,8,0,elbow_12,euclidean,mean
6.0,3.9189010899999994,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,0,elbow_21,euclidean,mean
6.0,3.9188900369999997,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,0,elbow_33,euclidean,mean
5.0,3.9448001889999995,0.6959201014073202,0.5875022188600615,kmeans,ecoli,336,6,8,0,calinski_harabasz,euclidean,mean
10.0,3.9514891400000005,0.49810489172346706,0.5968796608510075,kmeans,ecoli,336,6,8,0,hartigan,euclidean,mean
6.0,3.9630850330000014,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,0,wb_index,euclidean,mean
30.0,3.949268711000001,0.2153799815378827,0.40042357928889527,kmeans,ecoli,336,6,8,0,xu_index,euclidean,mean
3.0,3.9188930180000012,0.42161894261648103,0.3722415390509796,kmeans,ecoli,336,6,8,0,elbow_11,euclidean,amin
6.0,3.9188846780000004,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,0,elbow_22,euclidean,amin
5.0,3.9188830900000005,0.6959201014073202,0.5875022188600615,kmeans,ecoli,336,6,8,0,elbow_12,euclidean,amin
6.0,3.918880303000001,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,0,elbow_21,euclidean,amin
5.0,3.918880485,0.6959201014073202,0.5875022188600615,kmeans,ecoli,336,6,8,0,elbow_33,euclidean,amin
3.0,3.9458404730000014,0.42161894261648103,0.3722415390509796,kmeans,ecoli,336,6,8,0,calinski_harabasz,euclidean,amax
3.0,3.957520755,0.42161894261648103,0.3722415390509796,kmeans,ecoli,336,6,8,0,hartigan,euclidean,amin
3.0,3.963915394,0.42161894261648103,0.3722415390509796,kmeans,ecoli,336,6,8,0,wb_index,euclidean,amin
15.0,3.9633438880000016,0.3420915337732494,0.4813065965270145,kmeans,ecoli,336,6,8,0,xu_index,euclidean,amin
2.0,7.116475480000001,0.03797812133245865,0.061101009977425846,kmeans,ecoli,336,6,8,0,silhouette,-,wss_min
4.0,3.664257804,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,0,elbow_11,conventional,mean
4.0,3.663976052,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,0,elbow_22,conventional,mean
4.0,3.663963406,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,0,elbow_12,conventional,mean
4.0,3.6639691930000002,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,0,elbow_21,conventional,mean
5.0,3.66396791,0.6965768137925293,0.6217340314808462,rswap,ecoli,336,6,8,0,elbow_33,conventional,mean
4.0,3.709323569,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,0,calinski_harabasz,conventional,mean
19.0,3.7078389290000002,0.24983513752446676,0.436459116713856,rswap,ecoli,336,6,8,0,hartigan,conventional,mean
4.0,3.7124164490000005,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,0,wb_index,conventional,mean
30.0,3.711045728,0.1639802670184867,0.3828337271850042,rswap,ecoli,336,6,8,0,xu_index,conventional,mean
4.0,3.663990708,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,0,elbow_11,conventional,amin
4.0,3.6639506180000003,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,0,elbow_22,conventional,amin
4.0,3.6639428929999998,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,0,elbow_12,conventional,amin
4.0,3.6639583280000005,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,0,elbow_21,conventional,amin
5.0,3.663951655000001,0.6965768137925293,0.6217340314808462,rswap,ecoli,336,6,8,0,elbow_33,conventional,amin
4.0,3.709381747,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,0,calinski_harabasz,conventional,amax
20.0,3.7132472410000004,0.23322906282717795,0.42174611962762826,rswap,ecoli,336,6,8,0,hartigan,conventional,amin
4.0,3.707726922000001,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,0,wb_index,conventional,amin
30.0,3.708264357,0.1639802670184867,0.3828337271850042,rswap,ecoli,336,6,8,0,xu_index,conventional,amin
3.0,4.107770437999999,0.6767697357152568,0.5463552064285666,rswap,ecoli,336,6,8,0,elbow_11,euclidean,mean
4.0,4.107572170000001,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,0,elbow_22,euclidean,mean
3.0,4.107569735,0.6767697357152568,0.5463552064285666,rswap,ecoli,336,6,8,0,elbow_12,euclidean,mean
4.0,4.1075658409999996,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,0,elbow_21,euclidean,mean
5.0,4.107562055999999,0.6965768137925293,0.6217340314808462,rswap,ecoli,336,6,8,0,elbow_33,euclidean,mean
2.0,4.154401814,0.37914664275934495,0.3036394013608832,rswap,ecoli,336,6,8,0,calinski_harabasz,euclidean,mean
8.0,4.152087324,0.4118559864729041,0.5399557420442851,rswap,ecoli,336,6,8,0,hartigan,euclidean,mean
3.0,4.150406399000001,0.6767697357152568,0.5463552064285666,rswap,ecoli,336,6,8,0,wb_index,euclidean,mean
8.0,4.143817910999999,0.4118559864729041,0.5399557420442851,rswap,ecoli,336,6,8,0,xu_index,euclidean,mean
3.0,4.107559934999999,0.6767697357152568,0.5463552064285666,rswap,ecoli,336,6,8,0,elbow_11,euclidean,amin
4.0,4.107549794999999,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,0,elbow_22,euclidean,amin
3.0,4.107563749999999,0.6767697357152568,0.5463552064285666,rswap,ecoli,336,6,8,0,elbow_12,euclidean,amin
4.0,4.107577934,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,0,elbow_21,euclidean,amin
5.0,4.1075581109999995,0.6965768137925293,0.6217340314808462,rswap,ecoli,336,6,8,0,elbow_33,euclidean,amin
2.0,4.151944292,0.37914664275934495,0.3036394013608832,rswap,ecoli,336,6,8,0,calinski_harabasz,euclidean,amax
9.0,4.152649238,0.3443381234289179,0.49012339634562857,rswap,ecoli,336,6,8,0,hartigan,euclidean,amin
3.0,4.150602673,0.6767697357152568,0.5463552064285666,rswap,ecoli,336,6,8,0,wb_index,euclidean,amin
30.0,4.152031079,0.1639802670184867,0.3828337271850042,rswap,ecoli,336,6,8,0,xu_index,euclidean,amin
4.0,7.405144292999999,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,0,silhouette,-,wss_min
6.0,3.191587036,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,10,elbow_11,conventional,mean
6.0,3.1912679369999997,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,10,elbow_22,conventional,mean
5.0,3.191244779,0.6959201014073202,0.5875022188600615,kmeans,ecoli,336,6,8,10,elbow_12,conventional,mean
6.0,3.191240856,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,10,elbow_21,conventional,mean
6.0,3.191242472,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,10,elbow_33,conventional,mean
6.0,3.236278343,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,10,calinski_harabasz,conventional,mean
13.0,3.2278490019999997,0.39914740884112127,0.5135945338359884,kmeans,ecoli,336,6,8,10,hartigan,conventional,mean
6.0,3.2224002159999996,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,10,wb_index,conventional,mean
30.0,3.216492509,0.19192312047088317,0.3922191320755748,kmeans,ecoli,336,6,8,10,xu_index,conventional,mean
3.0,3.191273674,0.41489302881592416,0.3620801757079963,kmeans,ecoli,336,6,8,10,elbow_11,conventional,amin
6.0,3.1912094019999997,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,10,elbow_22,conventional,amin
5.0,3.191208279,0.6959201014073202,0.5875022188600615,kmeans,ecoli,336,6,8,10,elbow_12,conventional,amin
6.0,3.1912067219999996,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,10,elbow_21,conventional,amin
5.0,3.1912099629999995,0.6959201014073202,0.5875022188600615,kmeans,ecoli,336,6,8,10,elbow_33,conventional,amin
5.0,3.216740078,0.6959201014073202,0.5875022188600615,kmeans,ecoli,336,6,8,10,calinski_harabasz,conventional,amax
3.0,3.2236849,0.41489302881592416,0.3620801757079963,kmeans,ecoli,336,6,8,10,hartigan,conventional,amin
6.0,3.2196223429999997,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,10,wb_index,conventional,amin
30.0,3.225784192,0.19192312047088317,0.3922191320755748,kmeans,ecoli,336,6,8,10,xu_index,conventional,amin
22.0,3.933948903,0.23630787685913457,0.42360858959342773,kmeans,ecoli,336,6,8,10,elbow_11,euclidean,mean
6.0,3.9335149650000005,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,10,elbow_22,euclidean,mean
5.0,3.9335134420000006,0.6959201014073202,0.5875022188600615,kmeans,ecoli,336,6,8,10,elbow_12,euclidean,mean
6.0,3.9335002920000006,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,10,elbow_21,euclidean,mean
6.0,3.9335375830000006,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,10,elbow_33,euclidean,mean
5.0,3.978224895000001,0.6959201014073202,0.5875022188600615,kmeans,ecoli,336,6,8,10,calinski_harabasz,euclidean,mean
10.0,3.9761022320000006,0.49810489172346706,0.5968796608510075,kmeans,ecoli,336,6,8,10,hartigan,euclidean,mean
6.0,3.9754670130000003,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,10,wb_index,euclidean,mean
30.0,3.976614809000001,0.2153799815378827,0.40042357928889527,kmeans,ecoli,336,6,8,10,xu_index,euclidean,mean
3.0,3.933606965,0.42161894261648103,0.3722415390509796,kmeans,ecoli,336,6,8,10,elbow_11,euclidean,amin
6.0,3.933495777,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,10,elbow_22,euclidean,amin
5.0,3.9334912810000002,0.6959201014073202,0.5875022188600615,kmeans,ecoli,336,6,8,10,elbow_12,euclidean,amin
6.0,3.9334857360000006,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,10,elbow_21,euclidean,amin
5.0,3.9334866020000003,0.6959201014073202,0.5875022188600615,kmeans,ecoli,336,6,8,10,elbow_33,euclidean,amin
3.0,3.9761615290000005,0.42161894261648103,0.3722415390509796,kmeans,ecoli,336,6,8,10,calinski_harabasz,euclidean,amax
3.0,3.976620115000001,0.42161894261648103,0.3722415390509796,kmeans,ecoli,336,6,8,10,hartigan,euclidean,amin
3.0,3.976302659000001,0.42161894261648103,0.3722415390509796,kmeans,ecoli,336,6,8,10,wb_index,euclidean,amin
15.0,3.9772519190000013,0.3420915337732494,0.4813065965270145,kmeans,ecoli,336,6,8,10,xu_index,euclidean,amin
2.0,7.362684843000001,0.03797812133245865,0.061101009977425846,kmeans,ecoli,336,6,8,10,silhouette,-,wss_min
4.0,4.239121256000001,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,10,elbow_11,conventional,mean
4.0,4.23880001,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,10,elbow_22,conventional,mean
4.0,4.238802483000001,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,10,elbow_12,conventional,mean
4.0,4.238791324000001,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,10,elbow_21,conventional,mean
5.0,4.238790875,0.6965768137925293,0.6217340314808462,rswap,ecoli,336,6,8,10,elbow_33,conventional,mean
